time,T_air
2022-05-01 00:00:00,-0.7717
2022-05-01 00:30:00,-1.2116
2022-05-01 01:00:00,-1.2247
2022-05-01 01:30:00,-1.1864
2022-05-01 02:00:00,-0.9068
2022-05-01 02:30:00,-0.4662
2022-05-01 03:00:00,-0.1767
2022-05-01 03:30:00,0.1648
2022-05-01 04:00:00,0.596
2022-05-01 04:30:00,1.5858
2022-05-01 05:00:00,2.711
2022-05-01 05:30:00,3.7231
2022-05-01 06:00:00,4.9192
2022-05-01 06:30:00,5.9678
2022-05-01 07:00:00,7.042
2022-05-01 07:30:00,7.9821
2022-05-01 08:00:00,8.6748
2022-05-01 08:30:00,8.6923
2022-05-01 09:00:00,8.6716
2022-05-01 09:30:00,9.8858
2022-05-01 10:00:00,9.1957
2022-05-01 10:30:00,9.0782
2022-05-01 11:00:00,8.9201
2022-05-01 11:30:00,8.6938
2022-05-01 12:00:00,8.1013
2022-05-01 12:30:00,7.5372
2022-05-01 13:00:00,9.3047
2022-05-01 13:30:00,9.4751
2022-05-01 14:00:00,9.438
2022-05-01 14:30:00,9.1934
2022-05-01 15:00:00,8.9552
2022-05-01 15:30:00,8.5427
2022-05-01 16:00:00,7.9916
2022-05-01 16:30:00,7.4716
2022-05-01 17:00:00,6.7426
2022-05-01 17:30:00,5.5539
2022-05-01 18:00:00,3.2653
2022-05-01 18:30:00,0.9157
2022-05-01 19:00:00,-0.6512
2022-05-01 19:30:00,-1.5668
2022-05-01 20:00:00,-2.2071
2022-05-01 20:30:00,-2.6248
2022-05-01 21:00:00,-2.9476
2022-05-01 21:30:00,-3.232
2022-05-01 22:00:00,-3.2929
2022-05-01 22:30:00,-3.2469
2022-05-01 23:00:00,-2.9687
2022-05-01 23:30:00,-1.4849
2022-05-02 00:00:00,0.5121
2022-05-02 00:30:00,1.2261
2022-05-02 01:00:00,0.878
2022-05-02 01:30:00,1.113
2022-05-02 02:00:00,1.1636
2022-05-02 02:30:00,1.1252
2022-05-02 03:00:00,1.1131
2022-05-02 03:30:00,1.5411
2022-05-02 04:00:00,2.3733
2022-05-02 04:30:00,3.1614
2022-05-02 05:00:00,3.5807
2022-05-02 05:30:00,4.5747
2022-05-02 06:00:00,5.5774
2022-05-02 06:30:00,7.2535
2022-05-02 07:00:00,8.2837
2022-05-02 07:30:00,9.1128
2022-05-02 08:00:00,10.5444
2022-05-02 08:30:00,10.8659
2022-05-02 09:00:00,10.494
2022-05-02 09:30:00,11.0707
2022-05-02 10:00:00,11.0615
2022-05-02 10:30:00,10.9093
2022-05-02 11:00:00,11.055
2022-05-02 11:30:00,11.0201
2022-05-02 12:00:00,11.0978
2022-05-02 12:30:00,10.999
2022-05-02 13:00:00,10.6867
2022-05-02 13:30:00,10.3196
2022-05-02 14:00:00,10.5147
2022-05-02 14:30:00,10.3415
2022-05-02 15:00:00,9.2915
2022-05-02 15:30:00,9.3936
2022-05-02 16:00:00,9.7129
2022-05-02 16:30:00,9.4492
2022-05-02 17:00:00,8.5136
